Quantum(q),Avg_Response_Time,Avg_Waiting_Time,Avg_Turnaround_Time,CPU_Utilization,Avg_Throughput
1,6257.62,27618.04,28069.64,0.4973172,1.3888888888888888
5,2686.62,12535.64,12977.02,0.803939,2.7777777777777777
10,2745.34,17351.74,17858.96,0.9012518,2.1739130434782608
25,2115.74,11349.1,11806.7,0.9346532,3.125
50,1688.08,12011.22,12508.52,0.9489555,3.125
69,1693.56,10528.82,11024.62,0.959495,3.3333333333333335
75,1851.92,12241.06,12702.44,0.95215565,2.9411764705882355
85,1842.1,11820.28,12277.92,0.9569039,3.125
100,1551.76,11493.4,11960.44,0.968653,3.125
125,1902.6,11496.98,11938.26,0.95410866,3.125
150,1317.2,11856.7,12324.94,0.9572597,3.125
175,1606.14,12060.02,12531.28,0.9623496,3.125
200,1473.14,11444.66,11926.6,0.9618384,3.3333333333333335
500,1482.42,11778.98,12252.48,0.9654297,3.125
